name,size_bytes,sha256,source_class,read_status
5.4.txt,378625,45b407674a0059bd65aaef4c69a61f4b0516630a2edc0bd3f65945ac7cfa1bd4,SECONDARY_PROJECT_INTENT_SYNTHESIS,FULL_TEXT_READ_R24
agi1_cleaned.txt,1767817,f6b9b83c4fdc8a06768d13e2be137781a1fc115c5887161b0832c99df3f9ed5e,NEGATIVE_CONTROL_SELF_MODEL_DRIFT_CORPUS,FULL_TEXT_READ_R24
combined_clean_final_v13_part11.txt,845083,01dcf4abf0c85507fc16c279293da6646ecba6667dbf8cd474616e879131784c,SECONDARY_CUMULATIVE_LOOP_DIAGNOSIS,FULL_TEXT_READ_R24
conversations-001_00045_Извлечение данных по ядру.txt,4264529,7b68bc90ae6d63e610531fc6a04b007db140e3c1ca84e92ac09d14faadb90ea1,PRIMARY_CHAT_EXPORT,FULL_TEXT_READ_R24
conversations-004_00024_NFT Bot MVP Plan.txt,932747,965fd2ff75009b0bb9d27e381e03307156a2c5eb7a06b4213efee54028aba12f,PRIMARY_CHAT_EXPORT,FULL_TEXT_READ_R24
conversations-004_00045_Разработка ИИ Тамагочи.txt,778760,02dd81be862e626746c2d459af1bcb530e2a0aba0d512fcb23e60d8db80ad66e,PRIMARY_CHAT_EXPORT,FULL_TEXT_READ_R24
conversations-004_00051_Restored master conclusions.txt,2120507,7a777a2e8f8fad526619071770bebcca602122d12f9c9538eafe6b7216de00d7,PRIMARY_CHAT_EXPORT,FULL_TEXT_READ_R24
gptevo.txt,1579890,be983ac36f5c3f8c9149521d8c6dc9ddb2c60559d07969785c99484a36c2ee61,DERIVATIVE_ARCHITECTURE_OPTION_CORPUS,FULL_TEXT_READ_R24
systempack_battle.md,5208320,265993ef50526c0f022e6c1962ef92ae9884b5cd01ee5320042231d50b03f1bd,DERIVATIVE_WRAPPER,FULL_TEXT_READ_R24
systempack_extended.md,5208882,cfc52c4d645efa35542cc3c4e14bec77df494f1ebafe85fa09050ceb2e6fc0d2,DERIVATIVE_WRAPPER,FULL_TEXT_READ_R24
systempack_strict.md,5208320,e0655aba31a90ccbf8825f72c7a105a3324f03057adf9c9e566e4dd84374a647,DERIVATIVE_WRAPPER,FULL_TEXT_READ_R24
systempack_ultimate.md,5208892,cdad66819bb6a682df8c0069add7b596952d0a29a2e98c189d42fe08c8638613,DERIVATIVE_WRAPPER,FULL_TEXT_READ_R24
CONSOLIDATED_REPORT_20260722(1).docx,33945,174d588f781770508cdd43f591fc40f5417b02b4a46dba1b3a3874c63eeb9e04,CORRECTED_FORENSIC_REPORT,FULL_DOC_PARSED_AND_ADJUDICATED
