artifact_id,source_path,payload_path,sha256,size_bytes,source_surface,artifact_role,derivation_depth,primary_source_eligible,secret_finding_count,secret_fingerprint_count,note
HR99-001,C:\PROJECTS\_ARCHIVE\continuity_os_attic\gdrive_harvest_2026-04-12\docs\general\combined_clean_final_v13_part11.txt,payload/PROJECTS_417a3384/_ARCHIVE/continuity_os_attic/gdrive_harvest_2026-04-12/docs/general/combined_clean_final_v13_part11.txt,01dcf4abf0c85507fc16c279293da6646ecba6667dbf8cd474616e879131784c,845083,ARCHIVED_PROJECT_SURFACE,DERIVATIVE_REPORT,0,False,0,0,"Historical export, report, chat extract or archived derivative."
HR99-002,C:\Users\coins\Downloads\dc0a2696f305cc5b07288506080de6424ab67886d19d5e56bdf4108f3a78eafa-2026-05-25-11-19-04-c06000e51db5464bb845c20165dfcee2\json_chats_extracted\conversations-004_00045_Разработка ИИ Тамагочи.txt,payload/Downloads_19440c3d/dc0a2696f305cc5b07288506080de6424ab67886d19d5e56bdf4108f3a78eafa-2026-05-25-11-19-04-c06000e51db5464bb845c20165dfcee2/json_chats_extracted/conversations-004_00045_Разработка ИИ Тамагочи.txt,02dd81be862e626746c2d459af1bcb530e2a0aba0d512fcb23e60d8db80ad66e,778760,DOWNLOADS_SURFACE,DERIVATIVE_REPORT,0,False,0,0,"Historical export, report, chat extract or archived derivative."
HR99-003,C:\Users\coins\My Drive\Control canter\00_INBOX_RAW\handoff_recovery\HANDOFF_RECOVERY_20260721T173726Z\HANDOFF_CANDIDATES.csv,payload/Control_canter_36f25952/00_INBOX_RAW/handoff_recovery/HANDOFF_RECOVERY_20260721T173726Z/HANDOFF_CANDIDATES.csv,0361095be52fb052dcf89e5403ac4eb0a628d8878aec7d79e83181d336543cbf,84975,PRIOR_RECOVERY_OUTPUT,RECOVERY_SELF_DERIVATIVE,1,False,0,0,Prior collector output re-entered next collector run.
HR99-004,C:\PROJECTS\archiveos_api\Archive_tooling_FROZEN_20260415_225232\handoff_packs\archive_tooling_windsurf.handoff_pack.json,payload/PROJECTS_417a3384/archiveos_api/Archive_tooling_FROZEN_20260415_225232/handoff_packs/archive_tooling_windsurf.handoff_pack.json,084664797ca1befefa562e14c39434028d5c92169e80789408e0a9096a219b2c,4907,CURRENT_PROJECT_SURFACE,DERIVATIVE_REPORT,0,False,0,0,Current project handoff/state/report artifact; claim-specific primary status not assumed.
HR99-005,C:\PROJECTS\continuity_os\GLM_HEAVY_WO001\v263\00_START_HERE\START_HERE.md,payload/PROJECTS_417a3384/continuity_os/GLM_HEAVY_WO001/v263/00_START_HERE/START_HERE.md,08487cfe6bbd0910d877c5347d5819896546d2b1410b0d2fe2b3fad9ec6321de,764,CURRENT_PROJECT_SURFACE,CONTROL_METADATA,0,False,0,0,"Protocol/template/plugin/wordlist metadata; useful for control, not primary archive evidence."
HR99-006,C:\PROJECTS\MAWorld\contracts\handoff\HandoffResponse.yaml,payload/PROJECTS_417a3384/MAWorld/contracts/handoff/HandoffResponse.yaml,09093abdfd76345d37b42f2063fdc0a1bfdd7656c7ce9b8ee689477e76bb6ebf,348,CURRENT_PROJECT_SURFACE,PRIMARY_SOURCE,0,True,0,0,Current project contract/config bytes eligible for bounded primary-source claims.
HR99-007,C:\PROJECTS\continuity_os\05_NOTES\2026-06-07_HANDOFF_to_GRAVITY_CONTINUITY.md,payload/PROJECTS_417a3384/continuity_os/05_NOTES/2026-06-07_HANDOFF_to_GRAVITY_CONTINUITY.md,097ee8cbf0358ae6443deb72b76c23babff8be5f12c0e63d9239e770ef70b68e,9510,CURRENT_PROJECT_SURFACE,DERIVATIVE_REPORT,0,False,0,0,Current project handoff/state/report artifact; claim-specific primary status not assumed.
HR99-008,C:\PROJECTS\_MAWORLD_STAGING\HANDOFF_COMPLETE.md,payload/PROJECTS_417a3384/_MAWORLD_STAGING/HANDOFF_COMPLETE.md,0a8a31187160b545f88c208c5bf052b1e861defddd1cb9d882399ecee0ffd5a4,20174,CURRENT_PROJECT_SURFACE,DERIVATIVE_REPORT,0,False,0,0,Current project handoff/state/report artifact; claim-specific primary status not assumed.
HR99-009,C:\Users\coins\My Drive\Control canter\00_INBOX_RAW\agent_returns\ANTIGRAVITY\00_RETURN_DROP\ANTIGRAVITY_WO-011-SEMANTIC-REPAIR-001_20260715T185157Z\Domain_C\CURRENT_STATE_V2.md,payload/Control_canter_36f25952/00_INBOX_RAW/agent_returns/ANTIGRAVITY/00_RETURN_DROP/ANTIGRAVITY_WO-011-SEMANTIC-REPAIR-001_20260715T185157Z/Domain_C/CURRENT_STATE_V2.md,0d8b213ea51dd516c6f98e4997ebc2e29ad41123c8167be15b0f522a5ec583a7,104,AGENT_RETURN_SURFACE,AGENT_RETURN,0,False,0,0,"Agent output is evidence of an agent lane, not an original project/source corpus item."
HR99-010,C:\Users\coins\My Drive\Control canter\00_INBOX_RAW\fromoutput\2026-07-12_HANDOFF_arena_ops.md,payload/Control_canter_36f25952/00_INBOX_RAW/fromoutput/2026-07-12_HANDOFF_arena_ops.md,0dd394be7fedad346cbccda3d134cd6c449c239a00378136323667ff19c57466,8167,AGENT_RETURN_SURFACE,AGENT_RETURN,0,False,0,0,"Agent output is evidence of an agent lane, not an original project/source corpus item."
