source_id,path,filename,size_bytes,sha256,evidence_class,purpose
SRC-R26-001,/mnt/data/r26_sources/archive_continuation_308_317.md,archive_continuation_308_317.md,17327,10f347710b66056eb0368f6d6eadc44fb3f657847807b5b0aae42ee8fe8d85c1,ORIGIN_ANALYTICAL_CHECKPOINT,Legacy 473-lineage origin: archive/trading/memory contours
SRC-R26-002,/mnt/data/r26_sources/CONTINUITY_META_AUDIT_V1.md,CONTINUITY_META_AUDIT_V1.md,20228,ba507753cbeef188fe8b7cc8e5129b4d34752aa674c3eee81882f0acaee76b05,PIVOT_PRIMARY_AUDIT,Proof-first security pivot; exact scope and fail-open root causes
SRC-R26-003,/mnt/data/r26_sources/HIGH_IMPACT_CURRENT_STATE.csv,HIGH_IMPACT_CURRENT_STATE.csv,3992,b524a6162590fc5741b8c0e5b6c144579aaaf466f03302e0037a2cf186375982,PIVOT_CURRENT_GAP_MATRIX,Post-Fable state remains NOT_EVALUATED in historical capture
SRC-R26-004,/mnt/data/r26_sources/45_SECURITY_CONTINUATION_2026-07-18.md,45_SECURITY_CONTINUATION_2026-07-18.md,12750,3cfd082c5c6fedd0f105935724c3c27bee1a96e6e4bd74278a7b5405f7afa84e,PIVOT_SECOND_GENERATION,MAWorld stricter fail-closed response; production HOLD
SRC-R26-005,/mnt/data/r26_sources/HANDOFF_COMPLETE.md,HANDOFF_COMPLETE.md,20174,0a8a31187160b545f88c208c5bf052b1e861defddd1cb9d882399ecee0ffd5a4,PIVOT_OPERATOR_DISCIPLINE,Architecture versus distribution and security-debt correction
SRC-R26-006,/mnt/data/r26_sources/NFT_MVP_HANDOFF.md,NFT_MVP_HANDOFF.md,2355,c252b8b24e5778916e343c52bfc440229644e27ae70fa9f2f56ab0a256d092ce,ORIGIN_PRODUCT,NFT product origin; execution/capital boundary remains separate
SRC-R26-007,/mnt/data/r26_sources/HandoffEnvelope.yaml,HandoffEnvelope.yaml,1167,81d1c6d2ed4d4bdc9b974aae2553369df9f1a8c82661cd7181dfb4497a25bbdb,DESIGN_CANDIDATE,Handoff envelope without authority transfer
SRC-R26-008,/mnt/data/r26_sources/HandoffResponse.yaml,HandoffResponse.yaml,348,09093abdfd76345d37b42f2063fdc0a1bfdd7656c7ce9b8ee689477e76bb6ebf,DESIGN_CANDIDATE,Typed handoff response
SRC-R26-009,/mnt/data/MAIN_CODEX_MAIN-033_20260722T141355968Z.zip,MAIN_CODEX_MAIN-033_20260722T141355968Z.zip,237299,dced80ef6e49c7b5e3831b9c56ce11d4ba1a23cc50d311d5a2ed4c29b7101257,CURRENT_PHYSICAL_RETURN,Current ContinuityOS source recapture
SRC-R26-010,/mnt/data/ARCHIVE_LEGACY_COMPLETION_AND_RETURN_INTAKE_R22_20260722/MAIN033_INDEPENDENT_INTAKE_R22.json,MAIN033_INDEPENDENT_INTAKE_R22.json,1448,73f12c6d5e2a2a0d406fd0b3f03288188fc86e708c524fe4dff4193e4f0d0c97,CURRENT_ACCEPTANCE,Root exists but Git baseline is not satisfied
SRC-R26-011,/mnt/data/BIDIRECTIONAL_ARCHIVE_AND_HANRI_R25_20260723/evidence/HANDOFF_99_FILE_COVERAGE_CERTIFICATE_R25.json,HANDOFF_99_FILE_COVERAGE_CERTIFICATE_R25.json,668,94685fa23c259c43ff0aa5a449c4ac111e236a8fd1bde31fea7ea0a3835a47e4,BOUNDED_COVERAGE,"99-file recovery scope, not global archive completeness"
SRC-R26-012,/mnt/data/ARCHIVE_ALL_LOCAL_ARTIFACTS_R16_1_20260722/ALL_LOCAL_ARCHIVE_COVERAGE_R16_1.json,ALL_LOCAL_ARCHIVE_COVERAGE_R16_1.json,1702,435f5ecab8b969b859960ecaf04c36b5877effa9455ed57f46956e411159c4ca,BOUNDED_COVERAGE,Detected text in 29 local archive/docx roots
SRC-R26-013,/mnt/data/Consolidated_Report_20260722_1.docx,Consolidated_Report_20260722_1.docx,38946,0e772ec024ddae01108fccdb5501a49369cf8ee4ec21b8de32be8cee006f6130,DERIVATIVE_FORENSIC_REPORT_V4,Latest Fable/Claude synthesis; current-runtime authority denied
SRC-R26-014,/mnt/data/CONSOLIDATED_REPORT_20260722(2).docx,CONSOLIDATED_REPORT_20260722(2).docx,37776,f7543d399e8cc9f1b9d623984390a9ff4336e6b90c2cc1d12bab82f080b75f80,DERIVATIVE_FORENSIC_REPORT_V3,Prior Fable revision for hash lineage
SRC-R26-015,/mnt/data/bitarchive3.txt,bitarchive3.txt,410116,9bb4edccdfb14ff35b743eb171c7d13038578b3c2447e5e5db5b2fa29994cc7d,SECONDARY_ANALYTICAL_CUMULATIVE,Legacy analytical steps 308-473
SRC-R26-016,/mnt/data/BIDIRECTIONAL_ARCHIVE_AND_HANRI_R25_20260723.zip,BIDIRECTIONAL_ARCHIVE_AND_HANRI_R25_20260723.zip,161589,fd7eb20e973d32a8663599fde160daf658c93daf58a89da3c66897be9a762b96,PARENT_RELEASE,HANRI R25 verified parent
